state,Region
IL,Midwest
IN,Midwest
WI,Midwest
GA,South
CA,West
HI,West
NC,South
TX,South
FL,South
MO,Midwest
WA,West
NY,Northeast
KS,Midwest
OH,Midwest
KY,South
MN,Midwest
NJ,Northeast
IA,Midwest
VA,South
PA,Northeast
AL,South
SC,South
AZ,West
AR,South
MA,Northeast
NH,Northeast
MS,South
LA,South
TN,South
WV,South
MT,West
MI,Midwest
OR,West
MD,South
NV,West
ME,Northeast
NM,West
CO,West
CT,Northeast
RI,Northeast
VT,Northeast
DC,South
UT,West
WY,West
NE,Midwest
OK,South
SD,Midwest
AK,West
ND,Midwest
DE,South
ID,West
AK,West
